Latitude,Longitude,Instrument,UTC date,UTC time,Sun elevation,Sun azimuth,Sirius elevation,Rigel elevation,Betelgeuse elevation,Procyon elevation,Capella elevation,Arcturus elevation,Spica elevation,Vega elevation,Deneb elevation,Antares elevation,Altair elevation,Aldebaran elevation,Local sidereal time,Local apparent solar time,Local mean time,Moon elevation,Moon right ascension,Moon phase,Venus elevation,Venus right ascension,Venus phase,Mars elevation,Mars right ascension,Jupiter elevation,Jupiter right ascension,Saturn elevation,Saturn right ascension
39,-77,05/31/19,09/23/19,01:13,,,,,,,,,,70,80,,58,,20:20,20:20,20:12,,,,,,,,,12,16:55,35,22:00
39,-77,08/28/19,09/23/19,01:13,,,,,,,,,,67,77,,58,,20:25,20:25,20:17,,,,,,,,,10,16:50,32,20:40
39,-77,05/31/19,09/24/19,21:33,16,75,,,,,,,,,,,,,16:40,16:35,16:27,,,,,,,,,,,,
39,-77,08/28/19,09/24/19,21:33,15,75,,,,,,,,,,,,,16:55,16:40,16:32,,,,,,,,,,,,
39,-77,05/31/19,09/26/19,11:23,2,95,,,,,,,,,,,,,06:25,06:10,06:00,,,,,,,,,,,,
39,-77,08/28/19,09/26/19,11:23,2,95,,,,,,,,,,,,,06:25,06:10,06:00,,,,,,,,,,,,
39,-77,05/31/19,10/11/19,00:24,,,,,,,,,,67,84,,57,,20:40,19:35,19:23,28,19:40,Wax90,,,,,,11,17:15,24,19:00
39,-77,08/28/19,10/11/19,00:24,,,,,,,,,,69,85,,56,,20:40,19:30,19:18,28,19:30,Wax90,,,,,,13,17:10,24,18:55
39,-77,05/31/19,10/14/19,12:14,9,110,,,,,,,,,,,,,08:35,07:15,07:05,,,,,,,,,,,,
39,-77,08/28/19,10/14/19,12:14,8,110,,,,,,,,,,,,,08:40,07:20,07:10,,,,,,,,,,,,
39,-77,05/31/19,10/18/19,01:25,,,,,,,,,,49,73,,50,,22:00,20:25,20:14,3,05:00,Wane80,,,,,,,,16,19:00
39,-77,08/28/19,10/18/19,01:25,,,,,,,,,,48,73,,47,,22:00,20:25,20:14,3,04:40,Wane80,,,,,,,,14,19:00
39,-77,05/31/19,10/18/19,12:31,10,120,,,,,,,,,,,,,09:35,07:35,07:24,35,05:25,Wane60,,,,,,,,,
39,-77,08/28/19,10/23/19,03:13,,,,,,,37,,,26,52,,25,30,00:05,22:15,22:00,,,,,,,,,,,,
39,-77,05/31/19,10/23/19,03:13,,,,,,,34,,,27,50,,25,29,00:05,22:20,22:04,,,,,,,,,,,,
39,-77,08/28/19,11/03/19,13:26,14,125,,,,,,,,,,,,,10:50,08:05,07:49,,,,,,,,,,,,
39,-77,05/31/19,11/03/19,13:26,15,125,,,,,,,,,,,,,11:00,08:25,08:09,,,,,,,,,,,,
39,-77,08/28/19,11/04/19,22:58,,,,,,,,,,66,90,,60,,20:50,18:10,17:56,32,20:20,Wax45,,,,,,11,17:10,24,19:30
39,-77,05/31/19,11/04/19,22:58,,,,,,,,,,65,85,,57,,20:45,18:10,17:56,30,20:05,Wax45,,,,,,15,17:20,26,19:20
39,-77,08/28/19,11/25/19,12:33,3,120,,,,,,,,,,,,,11:30,07:20,07:32,,,,,,,,,,,,
39,-77,05/31/19,11/25/19,12:33,2,120,,,,,,,,,,,,,11:30,07:20,07:32,,,,,,,,,,,,
39,-77,08/28/19,11/25/19,22:45,,,,,,,,,,52,74,,47,,22:00,17:40,17:52,,,,,,,,,,,,
39,-77,05/31/19,11/25/19,22:45,,,,,,,,,,52,75,,50,,21:45,17:30,17:42,,,,,,,,,,,,
39,-77,08/28/19,11/29/19,15:00,20,145,,,,,,,,,,,,,13:50,09:30,09:42,,,,,,,,,,,,
39,-77,05/31/19,11/29/19,15:00,21,145,,,,,,,,,,,,,13:55,09:35,09:47,,,,,,,,,,,,
39,-77,08/28/19,12/06/19,01:39,,,,20,20,,45,,,,,,,45,01:10,20:20,20:30,43,23:20,Wax55,,,,,,,,,
39,-77,05/31/19,12/06/19,01:39,,,,22,24,,51,,,,,,,46,01:40,20:45,20:53,40,23:40,Wax55,,,,,,,,,
39,-77,08/28/19,12/08/19,00:33,,,,8,,,39,,,23,43,,20,35,00:23,19:30,19:38,53,00:00,Wax60,,,,,,,,,
39,-77,05/31/19,12/08/19,00:33,,,,12,,,40,,,25,45,,21,36,00:25,19:30,19:38,53,00:25,Wax60,,,,,,,,,
39,-77,08/28/19,12/15/19,14:10,15,135,,,,,,,,,,,,,14:40,09:00,08:56,,,,,,,,,,,,
39,-77,05/31/19,12/15/19,14:10,15,135,,,,,,,,,,,,,14:35,09:00,08:56,,,,,,,,,,,,
39,-77,08/28/19,01/01/20,19:00,22,205,,,,,,,,,,,,,20:40,13:55,13:57,27,00:55,Wax45,,,,,,,,,
39,-77,05/31/19,01/01/20,19:00,23,205,,,,,,,,,,,,,20:40,13:50,13:53,27,00:55,Wax45,,,,,,,,,
39,-77,08/28/19,01/08/20,23:06,,,,18,18,,47,,,,40,,,24,01:10,17:55,18:01,30,22:40,Wax85,,,,,,,,,
39,-77,05/31/19,01/08/20,23:06,,,,18,19,,47,,,,38,,,28,01:20,18:00,18:06,31,22:40,Wax85,,,,,,,,,
39,-77,08/28/19,01/12/20,17:58,27,200,,,,,,,,,,,,,20:50,13:15,13:30,,,,,,,,,,,,
39,-77,05/31/19,01/12/20,17:58,27,200,,,,,,,,,,,,,20:55,13:10,13:20,,,,,,,,,,,,
39,-77,08/28/19,01/20/20,15:18,25,150,,,,,,,,,,,,,18:15,10:00,10:11,,,,,,,,,,,,
39,-77,05/31/19,01/20/20,15:18,25,150,,,,,,,,,,,,,18:20,10:10,10:21,,,,,,,,,,,,
30,-86,08/28/19,01/28/20,22:39,10,256,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,-86,08/28/19,01/28/20,23:18,-1,241,,,,,,,,,,,,,,,,42,,Wax10,,,,,,,,,
39,-77,08/28/19,02/08/20,17:56,35,195,,,,,,,,,,,,,22:20,12:55,13:07,,,,,,,,,,,,
39,-77,05/31/19,02/08/20,17:56,34,198,,,,,,,,,,,,,22:35,13:07,13:19,,,,,,,,,,,,
39,-77,08/28/19,02/15/20,15:17,28,145,,,,,,,,,,,,,19:30,09:40,09:56,,,,,,,,,,,,
39,-77,05/31/19,02/15/20,15:17,30,145,,,,,,,,,,,,,19:40,09:50,10:06,,,,,,,,,,,,
39,-77,08/28/19,02/21/20,12:15,3,105,,,,,,,,,,,,,17:15,06:55,06:09,,,,,,,,,,,,
39,-77,05/31/19,02/21/20,12:15,4,105,,,,,,,,,,,,,17:15,06:55,06:09,,,,,,,,,,,,
39,-77,08/28/19,02/27/20,12:35,9,110,,,,,,,,,,,,,18:00,07:10,07:23,,,,,,,,,,,,
39,-77,05/31/19,02/27/20,12:35,7,105,,,,,,,,,,,,,17:45,07:00,07:13,,,,,,,,,,,,
39,-77,08/28/19,03/04/20,12:24,9,110,,,,,,,,,,,,,18:15,07:20,07:32,,,,,,,,,,,,
39,-77,05/31/19,03/04/20,12:24,9,105,,,,,,,,,,,,,18:10,07:05,07:17,,,,,,,,,,,,
39,-77,08/28/19,03/04/20,20:54,20,240,,,,,,,,,,,,,02:50,15:50,16:02,40,00:30,Wax60,,,,,,,,,
39,-77,05/31/19,03/04/20,20:54,24,240,,,,,,,,,,,,,02:30,15:30,15:42,37,00:00,Wax60,,,,,,,,,
39,-77,08/28/19,03/08/20,16:21,45,160,,,,,,,,,,,,,22:15,11:00,11:11,,,,,,,,,,,,
39,-77,05/31/19,03/08/20,16:21,45,165,,,,,,,,,,,,,22:40,11:20,11:31,,,,,,,,,,,,
39,-77,08/28/19,03/09/20,00:45,,,33,37,53,54,71,,,,,,,53,07:00,19:35,19:46,28,10:40,Full,23,02:10,,,,,,,
39,-77,05/31/19,03/09/20,00:45,,,33,38,58,54,71,,,,,,,54,06:50,19:30,19:41,30,10:40,Full,25,02:30,,,,,,,
39,-77,08/28/19,03/30/20,01:22,,,26,18,40,52,52,19,,,,,,27,09:00,20:20,20:25,30,12:00,Wax20,20,12:50,,,,,,,
39,-77,05/31/19,03/30/20,01:22,,,26,21,40,53,51,19,,,,,,30,08:50,20:15,20:20,32,12:15,Wax20,17,13:00,,,,,,,
39,-77,08/28/19,03/30/20,13:30,28,110,,,,,,,,,,,,,21:05,08:20,08:25,,,,,,,,,,,,
39,-77,05/31/19,03/30/20,13:30,28,110,,,,,,,,,,,,,20:55,08:15,08:20,,,,,,,,,,,,
39,-77,08/28/19,04/02/20,12:29,19,100,,,,,,,,,,,,,20:15,07:25,07:30,,,,,,,,,,,,
39,-77,05/31/19,04/02/20,12:29,19,100,,,,,,,,,,,,,20:05,07:20,07:24,,,,,,,,,,,,
39,-77,08/28/19,04/03/20,02:20,,,19,,27,43,38,35,21,,,,,,09:55,21:05,21:09,60,08:30,Wax50,,,,,,,,,
39,-77,05/31/19,04/03/20,02:20,,,19,,26,43,37,31,21,,,,,,10:00,21:15,21:20,60,10:25,Wax50,,,,,,,,,
39,-77,08/28/19,04/03/20,13:24,28,110,,,,,,,,,,,,,21:10,08:20,08:24,,,,,,,,,,,,
39,-77,05/31/19,04/03/20,13:24,29,110,,,,,,,,,,,,,21:10,08:20,08:24,,,,,,,,,,,,
39,-77,08/28/19,04/05/20,21:36,24,260,,,,,,,,,,,,,05:15,16:20,16:23,,,,,,,,,,,,
39,-77,05/31/19,04/05/20,21:36,22,260,,,,,,,,,,,,,05:25,16:25,16:28,,,,,,,,,,,,
39,-77,08/28/19,04/06/20,12:13,16,90,,,,,,,,,,,,,19:55,06:55,06:57,,,,,,,,,,,,
39,-77,05/31/19,04/06/20,12:13,17,95,,,,,,,,,,,,,20:05,07:00,07:03,,,,,,,,,,,,
39,-77,08/28/19,04/07/20,01:50,,,17,,32,45,42,31,20,,,,,,10:00,20:55,20:57,41,12:00,Full,14,04:20,,,,,,,
39,-77,05/31/19,04/07/20,01:50,,,18,,27,43,42,30,20,,,,,,10:00,20:50,20:53,40,12:00,Full,15,04:00,,,,,,,
39,-77,08/28/19,04/07/20,13:36,33,110,,,,,,,,,,,,,21:30,08:20,08:23,,,,,,,,,,,,
39,-77,05/31/19,04/07/20,13:36,31,110,,,,,,,,,,,,,21:25,08:15,08:18,,,,,,,,,,,,
39,-77,08/28/19,04/08/20,14:46,41,125,,,,,,,,,,,,,22:25,09:15,09:18,,,,,,,,,,,,
39,-77,05/31/19,04/08/20,14:46,43,125,,,,,,,,,,,,,22:37,09:30,09:33,,,,,,,,,,,,
39,-77,08/28/19,04/10/20,00:53,,,25,18,33,48,48,18,14,,,,,,09:05,19:55,19:57,,,,27,04:40,,,,,,,
39,-77,05/31/19,04/10/20,00:53,,,24,19,37,48,48,18,12,,,,,,09:05,19:50,19:52,,,,28,04:50,,,,,,,
39,-77,08/28/19,04/11/20,13:23,33,105,,,,,,,,,,,,,21:40,08:20,08:22,,,,,,,,,,,,
39,-77,05/31/19,04/11/20,13:23,32,105,,,,,,,,,,,,,21:40,08:20,08:22,,,,,,,,,,,,
39,-77,08/28/19,04/14/20,02:00,,,11,,18,43,33,37,30,,,,,,10:45,21:15,21:15,,,,17,04:55,,,,,,,
39,-77,05/31/19,04/14/20,02:00,,,13,,21,37,33,34,27,,,,,,10:40,21:07,21:07,,,,13,04:35,,,,,,,
39,-77,08/28/19,04/15/20,14:03,40,110,,,,,,,,,,,,,22:35,09:00,09:00,21,20:00,Wane50,,,,,,,,,
39,-77,05/31/19,04/15/20,14:03,40,110,,,,,,,,,,,,,22:35,09:00,09:00,20,19:55,Wane50,,,,,,,,,
39,-77,08/28/19,04/16/20,02:22,,,,,,34,,42,30,,,,,,11:00,21:25,21:25,,,,11,04:50,,,,,,,
39,-77,05/31/19,04/16/20,02:22,,,,,,34,,43,28,,,,,,10:55,21:20,21:20,,,,10,04:30,,,,,,,
39,-77,08/28/19,04/17/20,03:10,,,,,,22,22,52,35,17,,,,,12:05,22:20,22:20,,,,,,,,,,,,
39,-77,05/31/19,04/17/20,03:10,,,,,,23,22,50,33,16,,,,,12:00,22:15,22:15,,,,,,,,,,,,
39,-77,08/28/19,04/19/20,16:24,59,160,,,,,,,,,,,,,01:05,11:20,11:20,,,,,,,,,,,,
39,-77,05/31/19,04/19/20,16:24,61,165,,,,,,,,,,,,,01:20,11:27,11:27,,,,,,,,,,,,
39,-77,08/28/19,04/21/20,01:45,,,,,28,34,33,40,30,,,,,,10:50,20:55,20:55,,,,14,05:20,,,,,,,
39,-77,05/31/19,04/21/20,01:45,,,,,30,37,33,37,25,,,,,,10:40,20:45,20:45,,,,17,04:40,,,,,,,
39,-77,08/28/19,04/22/20,13:35,33,100,,,,,,,,,,,,,22:10,08:10,08:11,,,,,,,,,,,,
39,-77,05/31/19,04/22/20,13:35,34,105,,,,,,,,,,,,,22:15,08:15,08:16,,,,,,,,,,,,
39,-77,08/28/19,04/28/20,01:10,,,15,,22,39,34,38,24,,,,,,10:30,20:05,20:05,33,06:00,Wax10,21,05:10,,,,,,,
39,-77,05/31/19,04/28/20,01:10,,,15,,20,37,33,38,26,,,,,,10:35,20:05,20:05,32,06:00,Wax10,22,05:05,,,,,,,
39,-77,08/28/19,04/29/20,13:36,36,100,,,,,,,,,,,,,22:40,08:20,08:19,,,,,,,,,,,,
39,-77,05/31/19,04/29/20,13:36,36,100,,,,,,,,,,,,,22:45,08:15,08:14,,,,,,,,,,,,
39,-77,08/28/19,05/02/20,14:37,48,120,,,,,,,,,,,,,22:55,09:20,09:18,,,,,,,,,,,,
39,-77,05/31/19,05/02/20,14:37,48,120,,,,,,,,,,,,,00:05,09:20,09:18,,,,,,,,,,,,
39,-77,08/28/19,05/03/20,00:48,,,,,22,37,33,39,27,,,,,,10:40,19:55,19:52,63,10:00,Wax60,25,05:40,,,,,,,
39,-77,05/31/19,05/03/20,00:48,,,,,20,39,35,39,25,,,,,,10:30,19:45,19:43,58,10:50,Wax60,25,05:20,,,,,,,
39,-77,08/28/19,05/04/20,13:30,35,120,,,,,,,,,,,,,22:55,08:10,08:07,,,,,,,,,,,,
39,-77,05/31/19,05/04/20,13:30,35,110,,,,,,,,,,,,,23:05,08:15,08:12,,,,,,,,,,,,
39,-77,08/28/19,05/04/20,19:19,53,230,,,,,,,,,,,,,05:00,14:15,14:12,,,,,,,,,,,,
39,-77,05/31/19,05/04/20,19:19,53,240,,,,,,,,,,,,,05:00,14:10,14:07,,,,,,,,,,,,
39,-77,08/28/19,05/05/20,01:07,,,,,,35,28,43,30,10,,,,,10:55,20:00,19:57,41,12:40,Wax70,18,04:50,,,,,,,
39,-77,05/31/19,05/05/20,01:07,,,,,,41,31,41,33,8,,,,,10:45,19:55,19:52,42,12:30,Wax70,18,05:10,,,,,,,
39,-77,08/28/19,05/05/20,13:14,33,100,,,,,,,,,,,,,22:50,08:00,07:57,,,,,,,,,,,,
39,-77,05/31/19,05/05/20,13:14,33,95,,,,,,,,,,,,,22:50,08:00,07:57,,,,,,,,,,,,
39,-77,08/28/19,05/07/20,13:14,34,100,,,,,,,,,,,,,22:50,08:00,07:57,,,,,,,,,,,,
39,-77,05/31/19,05/07/20,13:14,33,95,,,,,,,,,,,,,23:00,08:00,07:57,,,,,,,,,,,,
39,-77,08/28/19,05/09/20,14:26,46,120,,,,,,,,,,,,,00:20,09:15,09:12,,,,,,,,,,,,
39,-77,05/31/19,05/09/20,14:26,47,110,,,,,,,,,,,,,00:15,09:10,09:08,,,,,,,,,,,,
39,-77,08/28/19,05/10/20,13:27,36,100,,,,,,,,,,,,,23:05,07:50,07:48,,,,,,,,,,,,
39,-77,05/31/19,05/10/20,13:27,36,95,,,,,,,,,,,,,23:15,08:05,08:03,,,,,,,,,,,,
39,-77,08/28/19,05/11/20,01:35,,,,,,25,23,49,32,16,,,,,11:40,20:30,20:28,,,,14,05:50,,,,,,,
39,-77,05/31/19,05/11/20,01:35,,,,,,23,23,53,33,15,,,,,11:50,20:35,20:33,,,,13,05:35,,,,,,,
39,-77,08/28/19,05/12/20,17:40,68,190,,,,,,,,,,,,,03:50,12:30,12:28,,,,,,,,,,,,
39,-77,05/31/19,05/12/20,17:40,68,190,,,,,,,,,,,,,03:40,12:20,12:18,,,,,,,,,,,,
39,-77,08/28/19,05/14/20,01:18,,,,,,25,24,48,36,16,,,,,11:45,20:20,04:18,,,,12,05:40,,,,,,,
39,-77,05/31/19,05/14/20,01:18,,,,,,25,23,52,34,16,,,,,11:45,20:20,04:18,,,,12,05:45,,,,,,,
39,-77,08/28/19,05/15/20,16:16,67,140,,,,,,,,,,,,,02:40,11:10,11:08,,,,,,,,,,,,
39,-77,05/31/19,05/15/20,16:16,66,140,,,,,,,,,,,,,02:30,11:00,10:58,,,,,,,,,,,,
39,-77,08/28/19,05/16/20,13:53,42,110,,,,,,,,,,,,,00:15,08:40,08:38,,,,,,,,,,,,
39,-77,05/31/19,05/16/20,13:53,42,100,,,,,,,,,,,,,00:10,08:40,08:38,,,,,,,,,,,,
39,-77,08/28/19,05/23/20,14:57,55,120,,,,,,,,,,,,,01:35,09:35,09:30,,,,,,,,,,,,
39,-77,05/31/19,05/23/20,14:57,56,110,,,,,,,,,,,,,01:55,09:50,09:46,,,,,,,,,,,,
39,-77,08/28/19,05/25/20,21:21,33,270,,,,,,,,,,,,,08:30,16:20,16:18,,,,,,,,,,,,
39,-77,05/31/19,05/25/20,21:21,33,270,,,,,,,,,,,,,08:40,16:30,16:28,,,,,,,,,,,,
39,-77,08/28/19,05/26/20,00:49,,,,,,21,,57,33,18,,,,,12:05,19:50,19:48,26,07:00,Wax10,,,,,,,,,
39,-77,05/31/19,05/26/20,00:49,,,,, ,20,,56,37,18,,,,,12:10,20:00,19:58,23,07:00,Wax10,,,,,,,,,
39,-77,08/28/19,05/26/20,13:15,37,90,,,,,,,,,,,,,00:25,08:10,08:08,,,,,,,,,,,,
39,-77,05/31/19,05/26/20,13:15,37,90,,,,,,,,,,,,,00:20,08:00,07:58,,,,,,,,,,,,
39,-77,08/28/19,05/30/20,18:16,68,230,,,,,,,,,,,,,05:50,13:20,13:18,,,,,,,,,,,,
39,-77,05/31/19,05/30/20,18:16,67,220,,,,,,,,,,,,,05:30,13:00,12:58,,,,,,,,,,,,
39,-77,08/28/19,05/31/20,02:20,,,,,,,,68,38,34,,,,,14:35,22:05,22:03,45,,Wax50,,,,,,,,,
39,-77,05/31/19,05/31/20,02:20,,,,,,,,68,39,35,,,,,14:50,22:20,22:18,44,12:40,Wax50,,,,,,,,,
39,-77,08/28/19,06/01/20,02:50,,,,,,,,69,37,42,28,15,,,14:45,22:10,22:08,43,12:50,Wax60,,,,,,,,,
39,-77,05/31/19,06/01/20,02:50,,,,,,,,69,38,41,22,18,,,14:25,21:55,21:53,43,12:30,Wax60,,,,,,,,,
39,-77,08/28/19,06/01/20,15:28,60,120,,,,,,,,,,,,,02:45,10:05,10:03,,,,,,,,,,,,
39,-77,05/31/19,06/01/20,15:28,60,120,,,,,,,,,,,,,02:45,10:05,10:03,,,,,,,,,,,,
39,-77,08/28/19,06/02/20,01:49,,,,,,,,69,37,32,,,,,12:40,20:10,20:08,45,10:00,Wax80,,,,,,,,,
39,-77,05/31/19,06/02/20,01:49,,,,,,,,68,38,32,,,,,13:30,20:55,20:53,48,12:00,Wax80,,,,,,,,,
39,-77,08/28/19,06/06/20,20:30,40,260,,,,,,,,,,,,,08:40,15:35,15:33,,,,,,,,,,,,
39,-77,05/31/19,06/06/20,20:30,42,265,,,,,,,,,,,,,08:35,15:40,15:38,,,,,,,,,,,,
39,-77,08/28/19,06/08/20,21:31,33,270,,,,,,,,,,,,,09:20,16:20,16:20,,,,,,,,,,,,
39,-77,05/31/19,06/08/20,21:31,33,270,,,,,,,,,,,,,09:20,16:15,16:15,,,,,,,,,,,,
39,-77,08/28/19,06/09/20,13:22,38,90,,,,,,,,,,,,,01:10,08:10,08:10,,,,,,,,,,,,
39,-77,05/31/19,06/09/20,13:22,39,95,,,,,,,,,,,,,01:40,08:30,08:30,,,,,,,,,,,,
39,-77,08/28/19,06/12/20,13:21,36,90,,,,,,,,,,,,,01:30,08:00,08:00,,,,,,,,,,,,
39,-77,05/31/19,06/12/20,13:21,38,90,,,,,,,,,,,,,01:30,08:05,08:05,,,,,,,,,,,,
39,-77,08/28/19,06/13/20,01:26,,,,,,,,69,37,33,,,,,13:35,20:10,20:10,,,,,,,,,,,,
39,-77,05/31/19,06/13/20,01:26,,,,,,,,68,37,35,,,,,13:40,20:15,20:15,,,,,,,,,,,,
39,-77,08/28/19,06/15/20,02:23,,,,,,,,69,33,48,,,,,15:20,21:40,21:40,,,,,,,,,,,,
39,-77,05/31/19,06/15/20,02:23,,,,,,,,66,35,47,,,,,14:50,21:15,21:15,,,,,,,,,,,,
39,-77,08/28/19,06/21/20,18:34,68,230,,,,,,,,,,,,,07:15,13:30,13:31,,,,,,,,,,,,
39,-77,05/31/19,06/21/20,18:34,67,225,,,,,,,,,,,,,07:15,13:20,13:21,,,,,,,,,,,,
39,-77,08/28/19,06/21/20,21:09,40,265,,,,,,,,,,,,,10:15,16:00,16:01,,,,,,,,,,,,
39,-77,05/31/19,06/21/20,21:09,37,270,,,,,,,,,,,,,10:10,16:10,16:11,,,,,,,,,,,,
39,-77,08/28/19,06/22/20,13:24,38,90,,,,,,,,,,,,,02:05,08:00,08:01,,,,,,,,,,,,
39,-77,05/31/19,06/22/20,13:24,37,85,,,,,,,,,,,,,02:05,08:00,08:01,,,,,,,,,,,,
39,-77,08/28/19,06/23/20,13:55,45,100,,,,,,,,,,,,,02:40,08:30,08:31,,,,,,,,,,,,
39,-77,05/31/19,06/23/20,13:55,43,100,,,,,,,,,,,,,02:55,08:45,08:46,,,,,,,,,,,,
39,-77,08/28/19,06/24/20,21:22,35,90,,,,,,,,,,,,,10:25,16:10,16:11,,,,,,,,,,,,
39,-77,05/31/19,06/24/20,21:22,34,90,,,,,,,,,,,,,10:25,16:10,16:11,,,,,,,,,,,,
39,-77,08/28/19,06/26/20,13:45,42,90,,,,,,,,,,,,,02:50,08:30,08:33,,,,,,,,,,,,
39,-77,05/31/19,06/26/20,13:45,42,95,,,,,,,,,,,,,02:45,08:25,08:28,,,,,,,,,,,,
39,-77,08/28/19,06/30/20,01:36,,,,,,,,67,38,48,32,21,,,14:25,19:45,19:47,37,15:00,Wax60,,,,,,,,,
39,-77,05/31/19,06/30/20,01:36,,,,,,,,67,36,47,31,22,,,15:00,20:25,20:27,37,13:50,Wax60,,,,,,,,,
39,-77,08/28/19,06/30/20,16:12,68,160,,,,,,,,,,,,,06:00,11:20,11:23,,,,,,,,,,,,
39,-77,05/31/19,06/30/20,16:12,69,150,,,,,,,,,,,,,05:55,11:15,11:18,,,,,,,,,,,,
39,-77,08/28/19,07/02/20,13:55,45,100,,,,,,,,,,,,,03:35,08:45,08:48,,,,,,,,,,,,
39,-77,05/31/19,07/02/20,13:55,44,95,,,,,,,,,,,,,03:25,08:40,08:43,,,,,,,,,,,,
39,-77,05/31/19,07/04/20,03:08,,,,,,,,,,,,,,,,,,18,,Full,,,,,,,,,
39,-77,08/28/19,07/09/20,13:51,43,110,,,,,,,,,,,,,04:15,09:15,09:21,,,,,,,,,,,,
39,-77,05/31/19,07/09/20,13:51,40,95,,,,,,,,,,,,,03:40,08:20,08:26,,,,,,,,,,,,
39,-77,08/28/19,07/10/20,18:42,63,210,,,,,,,,,,,,,09:00,13:40,13:46,,,,,,,,,,,,
39,-77,05/31/19,07/10/20,18:42,65,230,,,,,,,,,,,,,08:50,13:30,13:36,,,,,,,,,,,,
39,-77,08/28/19,07/11/20,02:29,,,,,,,,52,20,67,44,25,38,,16:55,21:35,21:41,,,,,,,,,20,19:30,,
39,-77,05/31/19,07/11/20,02:29,,,,,,,,51,22,68,47,22,38,,16:45,21:25,21:31,,,,,,,,,18,19:30,,
39,-77,08/28/19,07/13/20,16:46,71,160,,,,,,,,,,,,,07:20,11:30,11:36,,,,,,,,,,,,
39,-77,05/31/19,07/13/20,16:46,72,170,,,,,,,,,,,,,07:15,11:45,11:51,,,,,,,,,,,,
39,-77,08/28/19,07/14/20,13:42,39,90,,,,,,,,,,,,,04:00,08:25,08:31,56,02:10,Wane30,,,,,,,,,
39,-77,05/31/19,07/14/20,13:42,42,100,,,,,,,,,,,,,04:05,08:30,08:36,53,02:00,Wane30,,,,,,,,,
39,-77,08/28/19,07/15/20,01:53,,,,,,,,57,27,66,43,23,30,,16:10,20:30,20:36,,,,,,,,,,,,
39,-77,05/31/19,07/15/20,01:53,,,,,,,,55,25,63,43,25,34,,16:20,20:40,20:46,,,,,,,,,,,,
39,-77,08/28/19,07/15/20,13:37,40,110,,,,,,,,,,,,,04:05,08:20,08:26,63,02:50,Wane20,,,,,,,,,
39,-77,05/31/19,07/15/20,13:37,39,100,,,,,,,,,,,,,04:00,08:20,08:26,63,02:45,Wane20,,,,,,,,,
39,-77,05/31/19,07/16/20,01:19,,,,,,,,61,28,54,32,21,,,16:00,22:20,22:26,,,,,,,,,,,,
39,-77,08/28/19,07/16/20,02:27,,,,,,,,46,18,69,52,20,44,,17:05,21:15,21:20,,,,,,,,,22,14:00,21,
39,-77,05/31/19,07/16/20,02:27,,,,,,,,46,17,74,51,22,44,,17:15,21:20,21:26,,,,,,,,,21,14:00,19,
39,-77,08/28/19,07/21/20,13:03,33,90,,,,,,,,,,,,,04:00,07:50,07:58,,,,,,,,,,,,
39,-77,05/31/19,07/21/20,13:03,33,90,,,,,,,,,,,,,04:00,07:50,07:58,,,,,,,,,,,,
39,-77,08/28/19,07/22/20,14:41,54,120,,,,,,,,,,,,,06:00,09:45,09:53,,,,,,,,,,,,
39,-77,05/31/19,07/22/20,14:41,52,110,,,,,,,,,,,,,05:35,09:30,09:38,,,,,,,,,,,,
39,-77,08/28/19,07/25/20,00:57,,,,,,,,59,26,55,39,26,,,16:25,20:10,20:18,23,18:20,Wax20,,,,,,,,,
39,-77,05/31/19,07/25/20,00:57,,,,,,,,58,27,59,42,24,,,16:15,20:00,20:08,23,18:30,Wax20,,,,,,,,,
39,-77,08/28/19,07/25/20,01:40,,,,,,,,49,18,63,50,23,37,,17:10,20:40,20:48,18,20:00,Wax20,,,,,,17,13:00,,
39,-77,05/31/19,07/25/20,01:40,,,,,,,,52,20,69,44,21,37,,17:00,20:40,20:48,16,20:00,Wax20,,,,,,18,12:55,,
39,-77,08/28/19,07/26/20,14:05,43,110,,,,,,,,,,,,,05:15,09:05,09:06,,,,,,,,,,,,
39,-77,05/31/19,07/26/20,14:05,43,100,,,,,,,,,,,,,05:05,08:40,08:46,,,,,,,,,,,,
39,-77,08/28/19,07/28/20,00:52,,,,,,,,56,26,59,40,25,34,,16:10,19:40,19:46,33,15:30,Wax50,,,,,,15,19:30,,
39,-77,05/31/19,07/28/20,00:52,,,,,,,,59,27,62,43,22,34,,16:10,19:40,19:46,32,15:10,Wax50,,,,,,15,19:30,,
39,-77,05/31/19,07/28/20,13:49,38,100,,,,,,,,,,,,,05:35,09:00,09:06,,,,,,,,,,,,
39,-77,08/28/19,07/29/20,12:43,27,80,,,,,,,,,,,,,03:50,07:10,07:16,,,,,,,,,,,,
39,-77,05/31/19,07/29/20,12:43,28,90,,,,,,,,,,,,,04:00,07:30,07:36,,,,,,,,,,,,
39,-77,08/28/19,07/29/20,21:14,37,270,,,,,,,,,,,,,12:35,16:00,16:06,,,,,,,,,,,,
39,-77,05/31/19,07/29/20,21:14,35,265,,,,,,,,,,,,,12:40,16:00,16:06,,,,,,,,,,,,
39,-77,08/28/19,08/03/20,01:19,,,,,,,,47,16,67,50,24,38,,17:20,20:20,20:27,17,20:40,Full,,,,,,23,19:40,18,20:00
