Latitude,Longitude,Instrument,UTC date,UTC time,Sun elevation,Sun azimuth,Sirius elevation,Rigel elevation,Betelgeuse elevation,Procyon elevation,Capella elevation,Arcturus elevation,Spica elevation,Vega elevation,Deneb elevation,Antares elevation,Altair elevation,Aldebaran elevation,Local sidereal time,Local apparent solar time,Local mean time,Moon elevation,Moon right ascension,Moon phase,Venus elevation,Venus right ascension,Venus phase,Mars elevation,Mars right ascension,Jupiter elevation,Jupiter right ascension,Saturn elevation,Saturn right ascension
39,-77,01/13/19,02/27/19,12:56,13,112,,,,,,,,,,,,,18:15,07:35,07:49,,,,,,,,,,,,
39,-77,01/13/19,02/27/19,14:23,27,125,,,,,,,,,,,,,19:35,08:50,09:03,,,,,,,,,,,,
39,-77,01/13/19,02/28/19,14:15,25,123,,,,,,,,,,,,,19:25,08:40,08:53,,,,,,,,,,,,
39,-77,01/13/19,02/28/19,20:09,29,227,,,,,,,,,,,,,01:30,14:50,15:03,,,,,,,,,,,,
39,-77,01/13/19,03/01/19,00:24,,,32,42,58,48,81,,,,,,,,06:00,19:15,19:27,,,,,,,41,02:35,,,,
39,-77,01/13/19,03/04/19,12:55,15,112,,,,,,,,,,,,,18:40,07:40,07:52,,,,,,,,,,,,
39,-77,01/13/19,03/04/19,20:26,28,234,,,,,,,,,,,,,02:00,15:05,15:19,,,,,,,,,,,,
39,-77,01/13/19,03/05/19,02:24,,,31,28,47,56,59,13,,,,,,,08:00,21:05,21:17,,,,,,,17,02:40,,,,
39,-77,01/13/19,03/12/19,01:17,,,,34,,,67,,,,,,,,07:20,19:53,20:03,31,03:15,Wax20,,,,28,02:55,,,,
39,-77,01/13/19,03/12/19,12:19,10,100,,,,,,,,,,,,,18:30,07:05,07:15,,,,,,,,,,,,
39,-77,01/13/19,03/12/19,15:26,40,142,,,,,,,,,,,,,21:40,10:15,10:25,,,,,,,,,,,,
39,-77,01/13/19,03/12/19,22:36,,,,,,,,,,,,,,,,,,67,,Wax30,,,,,,,,,
39,-77,01/13/19,03/13/19,00:36,,,35,38,57,56,72,,,,,,,,07:00,19:30,19:40,49,04:05,Wax30,,,,35,03:00,,,,
39,-77,01/13/19,03/14/19,18:35,46,255,,,,,,,,,,,,,06:30,15:10,15:20,,,,,,,,,,,,
39,-77,01/13/19,03/14/19,21:36,20,275,,,,,,,,,,,,,08:40,18:15,18:25,56,06:30,Wax50,,,,,,,,,
39,-77,01/13/19,03/15/19,20:14,31,235,,,,,,,,,,,,,02:40,15:05,15:15,31,07:00,Wax60,,,,,,,,,
39,-77,01/13/19,03/16/19,16:04,45,152,,,,,,,,,,,,,22:30,10:50,11:00,,,,,,,,,,,,
39,-77,01/13/19,03/16/19,17:55,47,192,,,,,,,,,,,,,00:20,12:35,12:45,,,,,,,,,,,,
39,-77,01/13/19,03/16/19,21:55,16,252,,,,,,,,,,,,,04:15,16:35,16:45,40,07:45,Wax60,,,,,,,,,
39,-77,01/13/19,03/17/19,00:00,,,34,40,58,53,77,,,,,,,,06:40,18:55,19:05,62,08:00,Wax60,,,,42,03:05,,,,
